family,model_label,seed,bundle_id,schema_version,protocol_pointer_sha256,source_status,split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name,variant
emerg,EmerG,4517,20260717T053525-s4517-73f38546870a,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.2557348608970642,0.489221629696538,0.4429477020602219,0.9752350963788776,0.6091995268662866,0.731100389798526,0.8987823307682954,0.5690495736395036,0.218055727107543,22919,28823,582,5245,cfg02_G2_D32,
emerg,EmerG,4517,20260717T053525-s4517-73f38546870a,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3490466475486755,0.6618492591498897,0.5551544982225868,0.8638781328454108,0.6759334787168518,0.7896038708257187,0.6352377147423093,0.4683442091074014,0.2543735939934607,20302,16268,3199,17800,cfg02_G2_D32,
emerg,EmerG,4517,20260717T053525-s4517-73f38546870a,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3667796850204468,0.7099133214056176,0.6122166122166122,0.7894132164588741,0.6896141550814066,0.8005505826179323,0.5263770432003335,0.4205919131319176,0.2772863537640264,18552,11751,4949,22317,cfg02_G2_D32,
emerg,EmerG,4517,20260717T053525-s4517-73f38546870a,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3639905750751495,0.7136305998019767,0.6155874114351623,0.7948597932002893,0.6938305538015822,0.8044103530711938,0.5271066025117684,0.4129894655591558,0.282389516969977,18680,11665,4821,22403,cfg02_G2_D32,
emerg,EmerG,7788,20260717T053333-s7788-a3a10db1ee40,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.2731027901172638,0.5082422831732356,0.4521330599406764,0.96642696055487,0.6160522960913554,0.7454926068487179,0.8725703069360246,0.5655164980757484,0.2321223219718838,22712,27521,789,6547,cfg02_G2_D32,
emerg,EmerG,7788,20260717T053333-s7788-a3a10db1ee40,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3428904116153717,0.6604943632857961,0.5530693281820133,0.8771541636526106,0.6783933654747996,0.79545036971964,0.6474317775191509,0.4741243476615829,0.2611299654941438,20614,16658,2887,17410,cfg02_G2_D32,
emerg,EmerG,7788,20260717T053333-s7788-a3a10db1ee40,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.379898190498352,0.7091316507147944,0.6103272584754066,0.7951576528658355,0.6905892570077052,0.8009411665234473,0.5318487380360958,0.430877513395777,0.2798747134508262,18687,11931,4814,22137,cfg02_G2_D32,
emerg,EmerG,7788,20260717T053333-s7788-a3a10db1ee40,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3605548143386841,0.709513800830308,0.6082540088162014,0.8102633930471044,0.6948747422774463,0.8052230697059714,0.5437996143757925,0.421141254473743,0.2835977309867243,19042,12264,4459,21804,cfg02_G2_D32,
emerg,EmerG,9999,20260717T053411-s9999-0b7345acfb18,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.2534204423427582,0.4895516684326634,0.44298033136324,0.9727245649121314,0.6087396479642105,0.7356028018852725,0.8964025777762338,0.5641857617206925,0.2224026196574345,22860,28745,641,5323,cfg02_G2_D32,
emerg,EmerG,9999,20260717T053411-s9999-0b7345acfb18,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3486303091049194,0.6617102954715212,0.5543495869107403,0.8736649504276414,0.678306546193363,0.7914701400643872,0.6433670899268704,0.4767340520700335,0.2598501566611698,20532,16506,2969,17562,cfg02_G2_D32,
emerg,EmerG,9999,20260717T053411-s9999-0b7345acfb18,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.351467877626419,0.7002900866785944,0.5950461004777409,0.8320922513935577,0.6938826201121283,0.8016115787158303,0.5708454202782748,0.4345411330499001,0.2817411298211998,19555,13308,3946,20760,cfg02_G2_D32,
emerg,EmerG,9999,20260717T053411-s9999-0b7345acfb18,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3567126095294952,0.7084020914033594,0.6065781954409804,0.812986681417812,0.6947762686594301,0.8035638381399433,0.5471347426566381,0.4194630442845404,0.2845214099487448,19106,12392,4395,21676,cfg02_G2_D32,
lightgcn,LightGCN,2025,20260716T183339-s2025-a370f5a1659c,lightgcn-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,WARN,evaluation,Cold,57569,23501,-0.0410508066415786,0.4082058052076638,0.4082097071187854,0.9999148972384154,0.5797426819791037,0.5060462735549583,0.9999478886206118,5.362256159706805e-05,0.0096584717375976,23499,34067,2,1,cfg01_L2_D64,
lightgcn,LightGCN,2025,20260716T183339-s2025-a370f5a1659c,lightgcn-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,WARN,evaluation,Warm A,57569,23501,-0.0375961475074291,0.4082058052076638,0.4082065179626155,0.9998723458576232,0.5797323135755258,0.5037830254633268,0.9999131477010196,0.001309067226294,0.0097701118883118,23498,34066,3,2,cfg01_L2_D64,
lightgcn,LightGCN,2025,20260716T183339-s2025-a370f5a1659c,lightgcn-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,WARN,evaluation,Warm B,57569,23501,-0.0371024832129478,0.4082058052076638,0.4082065179626155,0.9998723458576232,0.5797323135755258,0.5025470863352928,0.9999131477010196,0.0018149170052812,0.0097784209877443,23498,34066,3,2,cfg01_L2_D64,
